"","description","statusesCount","followersCount","favoritesCount","friendsCount","url","name","created","protected","verified","screenName","location","lang","id","listedCount","followRequestSent","profileImageUrl","tweets date","tweet "
"narendramodi.25","Prime Minister of India",18673,41624530,0,1936,"http://t.co/i7NW4Bof2G","Narendra Modi",2009-01-10 17:18:56,FALSE,TRUE,"narendramodi","India","en","18839785",22229,FALSE,"http://pbs.twimg.com/profile_images/718314968102367232/ypY1GPCQ_normal.jpg",2018-03-30 17:09:13,"appealed to my young friends to work on innovations that transform the lives of  crore indians   emphasised on  tcoqpaozgeca"
"narendramodi.26","Prime Minister of India",18673,41624530,0,1936,"http://t.co/i7NW4Bof2G","Narendra Modi",2009-01-10 17:18:56,FALSE,TRUE,"narendramodi","India","en","18839785",22229,FALSE,"http://pbs.twimg.com/profile_images/718314968102367232/ypY1GPCQ_normal.jpg",2018-03-30 17:08:29,"in the st century ippp will be a strong force by ippp i mean innovation patenting productivity and prosperity  tcoqdowmzwoce"
"narendramodi.27","Prime Minister of India",18673,41624530,0,1936,"http://t.co/i7NW4Bof2G","Narendra Modi",2009-01-10 17:18:56,FALSE,TRUE,"narendramodi","India","en","18839785",22229,FALSE,"http://pbs.twimg.com/profile_images/718314968102367232/ypY1GPCQ_normal.jpg",2018-03-30 17:05:54,"thanks to technology today s hackathon gave me an opportunity to learn about the ideas of youngsters from ahmedaba  tconljevlf"
"narendramodi.28","Prime Minister of India",18673,41624530,0,1936,"http://t.co/i7NW4Bof2G","Narendra Modi",2009-01-10 17:18:56,FALSE,TRUE,"narendramodi","India","en","18839785",22229,FALSE,"http://pbs.twimg.com/profile_images/718314968102367232/ypY1GPCQ_normal.jpg",2018-03-30 17:03:44,"programmes like the smart india hackathon make me extremely happy yet again i saw the rich potential of our yuva  tcodqiiczrio"
"narendramodi.29","Prime Minister of India",18673,41624530,0,1936,"http://t.co/i7NW4Bof2G","Narendra Modi",2009-01-10 17:18:56,FALSE,TRUE,"narendramodi","India","en","18839785",22229,FALSE,"http://pbs.twimg.com/profile_images/718314968102367232/ypY1GPCQ_normal.jpg",2018-03-30 11:00:27,"kutch which witnessed massive devastation after the  quake is now a prosperous district kutch is making rapi  tcodkgowogiv"
"narendramodi.30","Prime Minister of India",18673,41624530,0,1936,"http://t.co/i7NW4Bof2G","Narendra Modi",2009-01-10 17:18:56,FALSE,TRUE,"narendramodi","India","en","18839785",22229,FALSE,"http://pbs.twimg.com/profile_images/718314968102367232/ypY1GPCQ_normal.jpg",2018-03-30 10:59:37,"happy to have addressed the silver jubilee celebrations of the shree cutchi leva patel samaj nairobi via video co  tcotatvhunv"
"narendramodi.31","Prime Minister of India",18673,41624530,0,1936,"http://t.co/i7NW4Bof2G","Narendra Modi",2009-01-10 17:18:56,FALSE,TRUE,"narendramodi","India","en","18839785",22229,FALSE,"http://pbs.twimg.com/profile_images/718314968102367232/ypY1GPCQ_normal.jpg",2018-03-30 02:54:04,"on good friday we recall the courage and compassion of lord christ he dedicated his life to serving others and rem  tcoqmsaaowul"
"narendramodi.32","Prime Minister of India",18673,41624530,0,1936,"http://t.co/i7NW4Bof2G","Narendra Modi",2009-01-10 17:18:56,FALSE,TRUE,"narendramodi","India","en","18839785",22229,FALSE,"http://pbs.twimg.com/profile_images/718314968102367232/ypY1GPCQ_normal.jpg",2018-03-30 02:49:42,"                                                                                  tcowgiabvio"
"narendramodi.33","Prime Minister of India",18673,41624530,0,1936,"http://t.co/i7NW4Bof2G","Narendra Modi",2009-01-10 17:18:56,FALSE,TRUE,"narendramodi","India","en","18839785",22229,FALSE,"http://pbs.twimg.com/profile_images/718314968102367232/ypY1GPCQ_normal.jpg",2018-03-29 14:08:46,"at  pm tomorrow i will join the grand finale of the smart india hackathon i eagerly look forward to this opportu  tcoufchkcpn"
"narendramodi.34","Prime Minister of India",18673,41624530,0,1936,"http://t.co/i7NW4Bof2G","Narendra Modi",2009-01-10 17:18:56,FALSE,TRUE,"narendramodi","India","en","18839785",22229,FALSE,"http://pbs.twimg.com/profile_images/718314968102367232/ypY1GPCQ_normal.jpg",2018-03-29 14:04:58,"at  pm tomorrow i will address the silver jubilee celebrations of the shree cutchi leva patel samaj in nairob  tcooczmcnll"
"narendramodi.35","Prime Minister of India",18673,41624530,0,1936,"http://t.co/i7NW4Bof2G","Narendra Modi",2009-01-10 17:18:56,FALSE,TRUE,"narendramodi","India","en","18839785",22229,FALSE,"http://pbs.twimg.com/profile_images/718314968102367232/ypY1GPCQ_normal.jpg",2018-03-29 12:31:21,"gsata a communication satellite will provide new possibilities for mobile applications proud of isro for taki  tcoirxzitb"
"narendramodi.36","Prime Minister of India",18673,41624530,0,1936,"http://t.co/i7NW4Bof2G","Narendra Modi",2009-01-10 17:18:56,FALSE,TRUE,"narendramodi","India","en","18839785",22229,FALSE,"http://pbs.twimg.com/profile_images/718314968102367232/ypY1GPCQ_normal.jpg",2018-03-29 12:31:21,"congratulations to isro and other stakeholders on the successful launch of gslvf with indigenous cryogenic stage"
"narendramodi.37","Prime Minister of India",18673,41624530,0,1936,"http://t.co/i7NW4Bof2G","Narendra Modi",2009-01-10 17:18:56,FALSE,TRUE,"narendramodi","India","en","18839785",22229,FALSE,"http://pbs.twimg.com/profile_images/718314968102367232/ypY1GPCQ_normal.jpg",2018-03-29 02:43:22,"tadasana has several benefits   this video shows you how to practice it fitindia thyogaday tcolqzrhtliqg"
"narendramodi.38","Prime Minister of India",18673,41624530,0,1936,"http://t.co/i7NW4Bof2G","Narendra Modi",2009-01-10 17:18:56,FALSE,TRUE,"narendramodi","India","en","18839785",22229,FALSE,"http://pbs.twimg.com/profile_images/718314968102367232/ypY1GPCQ_normal.jpg",2018-03-29 02:38:03,"greetings on mahavir jayanti   bhagwan mahavir s message of peace nonviolence and harmony is a source of great i  tcosnjrwkt"
"narendramodi.39","Prime Minister of India",18673,41624530,0,1936,"http://t.co/i7NW4Bof2G","Narendra Modi",2009-01-10 17:18:56,FALSE,TRUE,"narendramodi","India","en","18839785",22229,FALSE,"http://pbs.twimg.com/profile_images/718314968102367232/ypY1GPCQ_normal.jpg",2018-03-28 14:56:19,"earlier today spoke in the rajya sabha and bid farewell to our mp colleagues retiring from the house india has ga  tcoddcbta"
"narendramodi.40","Prime Minister of India",18673,41624530,0,1936,"http://t.co/i7NW4Bof2G","Narendra Modi",2009-01-10 17:18:56,FALSE,TRUE,"narendramodi","India","en","18839785",22229,FALSE,"http://pbs.twimg.com/profile_images/718314968102367232/ypY1GPCQ_normal.jpg",2018-03-28 10:47:10,"warmest congratulations and good wishes to his excellency u win myint on his election as president of the republic  tcoveuiwyzfxy"
"narendramodi.41","Prime Minister of India",18673,41624530,0,1936,"http://t.co/i7NW4Bof2G","Narendra Modi",2009-01-10 17:18:56,FALSE,TRUE,"narendramodi","India","en","18839785",22229,FALSE,"http://pbs.twimg.com/profile_images/718314968102367232/ypY1GPCQ_normal.jpg",2018-03-27 17:25:54,"attended the farewell function for rajya sabha mps who are retiring i appreciate their contribution to parliament  tcocrfqczlu"
"narendramodi.42","Prime Minister of India",18673,41624530,0,1936,"http://t.co/i7NW4Bof2G","Narendra Modi",2009-01-10 17:18:56,FALSE,TRUE,"narendramodi","India","en","18839785",22229,FALSE,"http://pbs.twimg.com/profile_images/718314968102367232/ypY1GPCQ_normal.jpg",2018-03-27 17:22:48,"joined the ceremony marking the presentation of the gallantry awards and distinguished service decorations at rasht  tcovacidta"
"narendramodi.43","Prime Minister of India",18673,41624530,0,1936,"http://t.co/i7NW4Bof2G","Narendra Modi",2009-01-10 17:18:56,FALSE,TRUE,"narendramodi","India","en","18839785",22229,FALSE,"http://pbs.twimg.com/profile_images/718314968102367232/ypY1GPCQ_normal.jpg",2018-03-27 15:09:03,"had a great interaction with a youth delegation from bangladesh tcopxyyenucve"
"narendramodi.44","Prime Minister of India",18673,41624530,0,1936,"http://t.co/i7NW4Bof2G","Narendra Modi",2009-01-10 17:18:56,FALSE,TRUE,"narendramodi","India","en","18839785",22229,FALSE,"http://pbs.twimg.com/profile_images/718314968102367232/ypY1GPCQ_normal.jpg",2018-03-27 15:03:55,"i appreciate your enthusiasm fitindia tcomvvacqmday"
"narendramodi.45","Prime Minister of India",18673,41624530,0,1936,"http://t.co/i7NW4Bof2G","Narendra Modi",2009-01-10 17:18:56,FALSE,TRUE,"narendramodi","India","en","18839785",22229,FALSE,"http://pbs.twimg.com/profile_images/718314968102367232/ypY1GPCQ_normal.jpg",2018-03-27 15:02:38,"hi tanishk i hope your exams are going well best wishes to you and your friends examwarriors tcomifqgb"
"narendramodi.46","Prime Minister of India",18673,41624530,0,1936,"http://t.co/i7NW4Bof2G","Narendra Modi",2009-01-10 17:18:56,FALSE,TRUE,"narendramodi","India","en","18839785",22229,FALSE,"http://pbs.twimg.com/profile_images/718314968102367232/ypY1GPCQ_normal.jpg",2018-03-26 13:48:00,"making khadi a part of our lives and encouraging others to do so is a great tribute to bapu it also empowers lakhs  tcoilafatok"
"narendramodi.47","Prime Minister of India",18673,41624530,0,1936,"http://t.co/i7NW4Bof2G","Narendra Modi",2009-01-10 17:18:56,FALSE,TRUE,"narendramodi","India","en","18839785",22229,FALSE,"http://pbs.twimg.com/profile_images/718314968102367232/ypY1GPCQ_normal.jpg",2018-03-26 13:45:18,"well said fitindia tcojrkzmxli"
"narendramodi.48","Prime Minister of India",18673,41624530,0,1936,"http://t.co/i7NW4Bof2G","Narendra Modi",2009-01-10 17:18:56,FALSE,TRUE,"narendramodi","India","en","18839785",22229,FALSE,"http://pbs.twimg.com/profile_images/718314968102367232/ypY1GPCQ_normal.jpg",2018-03-26 13:44:46,"certainly ideas from everyone are welcome tcodlcnzhvq"
"narendramodi.49","Prime Minister of India",18673,41624530,0,1936,"http://t.co/i7NW4Bof2G","Narendra Modi",2009-01-10 17:18:56,FALSE,TRUE,"narendramodi","India","en","18839785",22229,FALSE,"http://pbs.twimg.com/profile_images/718314968102367232/ypY1GPCQ_normal.jpg",2018-03-25 12:28:45,"suggestions for mannkibaat are characterised by diversity be it the nature of thoughts shared or the location of  tconbozccmoa"
"narendramodi.50","Prime Minister of India",18673,41624530,0,1936,"http://t.co/i7NW4Bof2G","Narendra Modi",2009-01-10 17:18:56,FALSE,TRUE,"narendramodi","India","en","18839785",22229,FALSE,"http://pbs.twimg.com/profile_images/718314968102367232/ypY1GPCQ_normal.jpg",2018-03-25 12:26:12,"new india is dr ambedkar s india  by focussing on selfreliance creating better cities strengthening agricultur  tcosldfxnkv"
"narendramodi.51","Prime Minister of India",18673,41624530,0,1936,"http://t.co/i7NW4Bof2G","Narendra Modi",2009-01-10 17:18:56,FALSE,TRUE,"narendramodi","India","en","18839785",22229,FALSE,"http://pbs.twimg.com/profile_images/718314968102367232/ypY1GPCQ_normal.jpg",2018-03-25 12:25:27,"in less than a hundred days the world will mark the thyogaday i urge you all to think about ways to make this y  tcofvahkrmzg"
"narendramodi.52","Prime Minister of India",18673,41624530,0,1936,"http://t.co/i7NW4Bof2G","Narendra Modi",2009-01-10 17:18:56,FALSE,TRUE,"narendramodi","India","en","18839785",22229,FALSE,"http://pbs.twimg.com/profile_images/718314968102367232/ypY1GPCQ_normal.jpg",2018-03-25 12:24:21,"making healthcare accessible and affordable mannkibaat tcoxynilpvlw"
"narendramodi.53","Prime Minister of India",18673,41624530,0,1936,"http://t.co/i7NW4Bof2G","Narendra Modi",2009-01-10 17:18:56,FALSE,TRUE,"narendramodi","India","en","18839785",22229,FALSE,"http://pbs.twimg.com/profile_images/718314968102367232/ypY1GPCQ_normal.jpg",2018-03-25 10:33:17,"this year marks the start of bapu i want to hear from you all on how we can mark gandhi ji s th birth anni  tconnazxjhums"
"narendramodi.54","Prime Minister of India",18673,41624530,0,1936,"http://t.co/i7NW4Bof2G","Narendra Modi",2009-01-10 17:18:56,FALSE,TRUE,"narendramodi","India","en","18839785",22229,FALSE,"http://pbs.twimg.com/profile_images/718314968102367232/ypY1GPCQ_normal.jpg",2018-03-25 10:31:08,"our country is home to several festivals greetings to people across india for various upcoming festivals many of  tcoggzfjszrp"
"narendramodi.55","Prime Minister of India",18673,41624530,0,1936,"http://t.co/i7NW4Bof2G","Narendra Modi",2009-01-10 17:18:56,FALSE,TRUE,"narendramodi","India","en","18839785",22229,FALSE,"http://pbs.twimg.com/profile_images/718314968102367232/ypY1GPCQ_normal.jpg",2018-03-25 10:30:41,"spoke on a topic many farmers from all over india wanted me to address the government s decision on msp that benef  tcolhhhxlowi"
"narendramodi.56","Prime Minister of India",18673,41624530,0,1936,"http://t.co/i7NW4Bof2G","Narendra Modi",2009-01-10 17:18:56,FALSE,TRUE,"narendramodi","India","en","18839785",22229,FALSE,"http://pbs.twimg.com/profile_images/718314968102367232/ypY1GPCQ_normal.jpg",2018-03-25 10:30:15,"the farmers of meghalaya merit the attention and applause of the entire nation here is why mannkibaat tcoaurkgnkk"
"narendramodi.57","Prime Minister of India",18673,41624530,0,1936,"http://t.co/i7NW4Bof2G","Narendra Modi",2009-01-10 17:18:56,FALSE,TRUE,"narendramodi","India","en","18839785",22229,FALSE,"http://pbs.twimg.com/profile_images/718314968102367232/ypY1GPCQ_normal.jpg",2018-03-25 10:29:37,"here is today s mannkibaat programme where i spoke about ways in which the lives of our farmers are being transfo  tcozlrzqtkk"
"narendramodi.58","Prime Minister of India",18673,41624530,0,1936,"http://t.co/i7NW4Bof2G","Narendra Modi",2009-01-10 17:18:56,FALSE,TRUE,"narendramodi","India","en","18839785",22229,FALSE,"http://pbs.twimg.com/profile_images/718314968102367232/ypY1GPCQ_normal.jpg",2018-03-25 09:07:42,"amazed at the creativity of a few youngsters who made d animated videos of me practising yoga sharing one such v  tcoidcyjwhop"
"narendramodi.59","Prime Minister of India",18673,41624530,0,1936,"http://t.co/i7NW4Bof2G","Narendra Modi",2009-01-10 17:18:56,FALSE,TRUE,"narendramodi","India","en","18839785",22229,FALSE,"http://pbs.twimg.com/profile_images/718314968102367232/ypY1GPCQ_normal.jpg",2018-03-25 09:03:33,"a healthy india is the cornerstone of a developed india in that spirit let us make fitindia a fullfledged mass  tcoalopatfb"
"narendramodi.60","Prime Minister of India",18673,41624530,0,1936,"http://t.co/i7NW4Bof2G","Narendra Modi",2009-01-10 17:18:56,FALSE,TRUE,"narendramodi","India","en","18839785",22229,FALSE,"http://pbs.twimg.com/profile_images/718314968102367232/ypY1GPCQ_normal.jpg",2018-03-25 05:10:13,"mannkibaat begins shortly you can hear it live tcoftrjxtmni"
"narendramodi.61","Prime Minister of India",18673,41624530,0,1936,"http://t.co/i7NW4Bof2G","Narendra Modi",2009-01-10 17:18:56,FALSE,TRUE,"narendramodi","India","en","18839785",22229,FALSE,"http://pbs.twimg.com/profile_images/718314968102367232/ypY1GPCQ_normal.jpg",2018-03-25 02:20:45,"                                                                  greetings on ram navami tcotpubezxle"
"narendramodi.62","Prime Minister of India",18673,41624530,0,1936,"http://t.co/i7NW4Bof2G","Narendra Modi",2009-01-10 17:18:56,FALSE,TRUE,"narendramodi","India","en","18839785",22229,FALSE,"http://pbs.twimg.com/profile_images/718314968102367232/ypY1GPCQ_normal.jpg",2018-03-25 02:15:46,"birthday wishes to my valued colleague birender singh ji birender ji has years of experience in public life he i  tcouofbxdy"
"narendramodi.63","Prime Minister of India",18673,41624530,0,1936,"http://t.co/i7NW4Bof2G","Narendra Modi",2009-01-10 17:18:56,FALSE,TRUE,"narendramodi","India","en","18839785",22229,FALSE,"http://pbs.twimg.com/profile_images/718314968102367232/ypY1GPCQ_normal.jpg",2018-03-24 14:49:40,"had the honour of taking the president of germany mr frankwalter steinmeier to delhis sunder nursery we had wo  tcokbkautri"
"narendramodi.64","Prime Minister of India",18673,41624530,0,1936,"http://t.co/i7NW4Bof2G","Narendra Modi",2009-01-10 17:18:56,FALSE,TRUE,"narendramodi","India","en","18839785",22229,FALSE,"http://pbs.twimg.com/profile_images/718314968102367232/ypY1GPCQ_normal.jpg",2018-03-24 06:24:11,"tune in at  am tomorrow mannkibaat tcoeczmzuo"
"narendramodi.65","Prime Minister of India",18673,41624530,0,1936,"http://t.co/i7NW4Bof2G","Narendra Modi",2009-01-10 17:18:56,FALSE,TRUE,"narendramodi","India","en","18839785",22229,FALSE,"http://pbs.twimg.com/profile_images/718314968102367232/ypY1GPCQ_normal.jpg",2018-03-24 03:27:53,"government of india is working in mission mode to make india tbfree while the world has set a target of  for  tcoucbfkqf"
"narendramodi.66","Prime Minister of India",18673,41624530,0,1936,"http://t.co/i7NW4Bof2G","Narendra Modi",2009-01-10 17:18:56,FALSE,TRUE,"narendramodi","India","en","18839785",22229,FALSE,"http://pbs.twimg.com/profile_images/718314968102367232/ypY1GPCQ_normal.jpg",2018-03-24 03:24:33,"in the spirit of this year s  worldtbday theme of wanted leaders for a tbfree world  i urge citizens and organi  tcomkkdgdcqk"
